Opportunity_ID,Last_Modified_By,Total Price(Euros)
OPP-4691-16,Belal Farooqui,32.14
OPP-2731-23,Ruchita Patil,44.19
OPP-7145-55,Jaswinder Singh,30.27
OPP-5728-87,Ruchita Patil,48.76
OPP-3606-21,Belal Farooqui,31.52
OPP-7561-40,Ruchita Patil,46.29
OPP-0218-55,Belal Farooqui,23.74
OPP-1978-47,Belal Farooqui,29.62
OPP-2295-91,Heena Chopra,35.75
OPP-5377-45,Belal Farooqui,27.89
OPP-8211-47,Belal Farooqui,31.42
OPP-5891-52,Jaswinder Singh,20.99
OPP-4168-27,Ruchita Patil,34.79
OPP-7567-29,Ruchita Patil,39.4
OPP-8439-46,Jaswinder Singh,28.7
OPP-4560-91,Heena Chopra,25.42
OPP-2273-56,Ruchita Patil,40.71
OPP-6126-33,Ruchita Patil,48.65
OPP-5765-14,Ruchita Patil,41.75
OPP-0509-33,Belal Farooqui,39.12
OPP-0374-37,Heena Chopra,25.43
OPP-5248-54,Heena Chopra,42.73
OPP-1003-76,Ruchita Patil,34.57
OPP-4269-08,Jaswinder Singh,21.58
OPP-6130-63,Jaswinder Singh,38.11
OPP-8506-38,Ruchita Patil,34.48
OPP-7464-06,Heena Chopra,24.41
OPP-9249-64,Ruchita Patil,36.53
OPP-5741-85,Jaswinder Singh,43.57
OPP-6892-05,Heena Chopra,33.32
OPP-0737-40,Belal Farooqui,35.16
OPP-4142-75,Heena Chopra,44.88
OPP-4884-20,Jaswinder Singh,20.57
OPP-7726-75,Ruchita Patil,24.62
OPP-0761-35,Belal Farooqui,37.95
OPP-7901-02,Heena Chopra,44.87
OPP-7036-89,Heena Chopra,22.75
OPP-5091-77,Belal Farooqui,41.98
OPP-2727-35,Ruchita Patil,42.16
OPP-6637-94,Heena Chopra,21.52
OPP-7838-90,Ruchita Patil,22.45
OPP-7921-69,Jaswinder Singh,40.01
OPP-2780-91,Ruchita Patil,28.67
OPP-7282-74,Jaswinder Singh,23.96
OPP-1706-89,Ruchita Patil,29.8
OPP-6017-26,Ruchita Patil,42.66
OPP-9796-99,Ruchita Patil,39.97
OPP-1056-76,Ruchita Patil,27.09
OPP-3321-77,Belal Farooqui,24.99
OPP-4105-18,Ruchita Patil,39.51
OPP-4989-23,Ruchita Patil,39.61
OPP-6900-91,Ruchita Patil,36.58
OPP-2498-54,Heena Chopra,27.46
OPP-3608-71,Belal Farooqui,24.65
OPP-8524-15,Ruchita Patil,39.58
OPP-8082-11,Heena Chopra,26.61
OPP-0624-70,Belal Farooqui,22.41
OPP-7039-97,Heena Chopra,25.64
OPP-8412-67,Belal Farooqui,37.53
OPP-9517-99,Ruchita Patil,37.74
OPP-5399-27,Belal Farooqui,48.12
OPP-1825-83,Jaswinder Singh,38.72
OPP-1942-89,Belal Farooqui,30.21
OPP-8598-13,Ruchita Patil,26.8
OPP-0571-06,Ruchita Patil,49.0
OPP-8234-19,Ruchita Patil,39.81
OPP-8766-88,Belal Farooqui,37.42
OPP-9839-74,Belal Farooqui,28.86
OPP-0531-31,Ruchita Patil,37.68
OPP-8130-35,Heena Chopra,32.4
OPP-8504-64,Ruchita Patil,39.37
OPP-4872-66,Heena Chopra,28.33
OPP-9414-69,Jaswinder Singh,44.7
OPP-9293-96,Ruchita Patil,30.45
OPP-8654-46,Belal Farooqui,36.66
OPP-0834-49,Ruchita Patil,23.12
OPP-0516-78,Ruchita Patil,27.3
OPP-7260-02,Belal Farooqui,49.53
OPP-1818-18,Belal Farooqui,28.23
OPP-9996-70,Heena Chopra,34.19
OPP-5539-57,Ruchita Patil,24.72
OPP-1391-54,Ruchita Patil,33.71
OPP-9955-19,Ruchita Patil,49.16
OPP-0920-83,Ruchita Patil,47.59
